module id,category,module gds name,origin x [um],origin y [um],count,wchannel [nm],num fingers,lchannel [nm],lcontact [nm],loverlap [nm],gate asymmetry [nm],w_nmos [nm],w_pmos [nm],module description
'1019',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,950,0,1,4000.0,None,400.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1020',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,1000,0,1,4000.0,None,200.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1021',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,1050,0,1,4000.0,None,200.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1022',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,1100,0,1,4000.0,None,160.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1023',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,1150,0,1,4000.0,None,160.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1024',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,1200,0,1,4000.0,None,140.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1025',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,1250,0,1,4000.0,None,140.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1026',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,1300,0,1,4000.0,None,120.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1027',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,1350,0,1,4000.0,None,120.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1028',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,1400,0,1,4000.0,None,100.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1029',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.10_lov_0.06_gateasym_0.00_w_4.0,1450,0,1,4000.0,None,100.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1030',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,1500,0,1,4000.0,None,80.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1031',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.08_lov_0.06_gateasym_0.00_w_4.0,1550,0,1,4000.0,None,80.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1032',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,1600,0,1,4000.0,None,70.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1033',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.07_lov_0.06_gateasym_0.00_w_4.0,1650,0,1,4000.0,None,70.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
